Time;Working Electrode NO2;Auxiliar Electrode NO2;Working Electrode O3;Auxiliar Electrode O3;Working electrode CO;Auxiliar electrode CO;Working Electrode SO2;Auxiliar Electrode SO2;Temperature;Humidity;Pressure
2019-02-20 09:00:00;289.84;288.92;410.24;395.38;348.66;293.83;272.72;282.55;13.59;71.97;1002.0
2019-02-20 10:00:00;288.77;288.44;408.87;394.52;351.29;294.68;268.97;284.63;15.79;65.39;1002.0
2019-02-20 11:00:00;286.62;287.95;408.66;393.84;345.52;295.12;268.23;285.15;17.87;60.62;1002.0
2019-02-20 12:00:00;284.81;286.80;408.22;392.38;330.19;291.48;269.23;287.28;17.51;59.97;1002.0
2019-02-20 13:00:00;285.56;287.33;408.54;393.14;332.94;290.84;278.92;285.79;17.27;61.62;1002.0
2019-02-20 14:00:00;284.93;287.28;407.48;393.13;333.67;291.96;272.50;285.88;17.87;60.97;1002.0
2019-02-20 15:00:00;285.36;287.05;408.83;392.95;329.91;289.92;280.17;286.45;17.25;62.77;1002.0
2019-02-20 16:00:00;285.21;287.49;408.21;393.53;337.63;291.05;270.65;285.52;17.42;64.13;1002.0
2019-02-20 17:00:00;284.95;287.25;408.12;393.35;330.15;290.43;270.54;286.38;16.85;65.76;1002.0
2019-02-20 18:00:00;285.59;287.19;408.83;393.47;324.94;288.56;275.07;286.56;15.21;69.90;1002.0
2019-02-20 19:00:00;286.47;287.63;409.58;394.12;325.13;288.29;271.02;285.73;13.90;75.84;1002.0
2019-02-20 20:00:00;287.07;287.82;409.31;394.46;326.46;288.46;269.72;286.02;12.85;79.46;1002.0
2019-02-20 21:00:00;286.68;288.33;409.61;394.99;327.81;289.42;269.92;285.65;12.34;81.28;1002.0
2019-02-20 22:00:00;286.91;288.20;408.46;394.83;332.50;290.26;269.93;286.20;11.77;82.11;1003.0
2019-02-20 23:00:00;287.89;288.47;408.21;394.84;345.67;290.26;270.69;286.41;10.89;84.86;1003.0
2019-02-21 00:00:00;288.01;288.79;407.31;395.01;344.77;290.82;271.55;286.44;10.33;86.43;1003.0
2019-02-21 01:00:00;287.73;289.24;407.29;395.17;342.29;291.82;271.54;286.29;9.97;88.02;1003.0
2019-02-21 02:00:00;286.96;289.38;406.38;395.13;341.40;292.19;271.88;286.50;9.69;88.65;1003.0
2019-02-21 03:00:00;288.85;289.97;408.33;395.38;340.73;292.74;270.48;286.22;9.44;89.52;1003.0
2019-02-21 04:00:00;288.21;289.35;407.45;395.22;340.47;292.23;269.60;286.50;9.95;88.62;1003.0
2019-02-21 05:00:00;286.86;289.46;406.08;395.15;336.66;291.96;270.54;286.58;9.36;89.31;1003.0
2019-02-21 06:00:00;287.31;288.99;406.10;395.03;338.26;291.59;269.87;286.43;9.20;87.73;1003.0
2019-02-21 07:00:00;288.30;288.91;406.87;394.93;339.03;291.24;269.70;286.06;8.95;87.96;1003.0
2019-02-21 08:00:00;289.84;289.44;408.61;395.58;352.85;291.40;269.18;284.37;10.24;86.26;1003.0
2019-02-21 09:00:00;288.21;289.11;406.04;395.71;357.03;294.21;267.74;282.92;13.56;74.78;1003.0
2019-02-21 10:00:00;287.07;288.05;407.12;394.04;348.23;293.65;266.71;284.83;15.13;67.88;1003.0
